Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty
What is the capital of France?,Paris,London,Berlin,Madrid,A,easy
What is the capital of Japan?,Seoul,Tokyo,Beijing,Bangkok,B,easy
What is the capital of Italy?,Venice,Milan,Rome,Naples,C,easy
What is the capital of Germany?,Munich,Hamburg,Frankfurt,Berlin,D,easy
What is the capital of Spain?,Madrid,Barcelona,Seville,Valencia,A,easy
What is the capital of Canada?,Toronto,Ottawa,Vancouver,Montreal,B,easy
What is the capital of Australia?,Sydney,Melbourne,Canberra,Perth,C,easy
What is the capital of Egypt?,Alexandria,Giza,Luxor,Cairo,D,easy
What is the capital of Russia?,Moscow,St. Petersburg,Kazan,Sochi,A,easy
What is the capital of China?,Shanghai,Beijing,Hong Kong,Guangzhou,B,easy
What is the capital of Brazil?,Rio de Janeiro,Sao Paulo,Brasilia,Salvador,C,easy
What is the capital of India?,Mumbai,Kolkata,Bangalore,New Delhi,D,easy
What is the capital of the United Kingdom?,London,Manchester,Liverpool,Birmingham,A,easy
What is the capital of the United States?,New York,Washington D.C.,Los Angeles,Chicago,B,easy
What is the capital of Nigeria?,Lagos,Kano,Abuja,Ibadan,C,easy
What is the capital of Kenya?,Mombasa,Kisumu,Nakuru,Nairobi,D,easy
What is the capital of Mexico?,Mexico City,Guadalajara,Monterrey,Cancun,A,easy
What is the capital of Greece?,Thessaloniki,Athens,Patras,Heraklion,B,easy
What is the capital of Turkey?,Istanbul,Izmir,Ankara,Bursa,C,easy
What is the capital of South Korea?,Busan,Incheon,Daegu,Seoul,D,easy
At what temperature does water boil at sea level (Celsius)?,100 degrees C,90 degrees C,80 degrees C,120 degrees C,A,easy
At what temperature does water freeze at sea level (Celsius)?,10 degrees C,0 degrees C,-10 degrees C,5 degrees C,B,easy
How many bones are in the adult human body?,201,215,206,190,C,easy
What is the largest organ in the human body?,Liver,Heart,Lungs,Skin,D,easy
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A,easy
Which planet is the largest in our solar system?,Saturn,Jupiter,Earth,Neptune,B,easy
What is the chemical symbol for water?,CO2,O2,H2O,H2,C,easy
Which gas do humans need to breathe to survive?,Nitrogen,Carbon Dioxide,Helium,Oxygen,D,easy
How many continents are there on Earth?,7,5,6,8,A,easy
How many days are there in a leap year?,365,366,364,367,B,easy
How many sides does a triangle have?,4,5,3,6,C,easy
How many sides does a hexagon have?,5,7,8,6,D,easy
What is the square root of 64?,8,6,7,9,A,easy
What is the fastest land animal on Earth?,Lion,Cheetah,Horse,Leopard,B,easy
What is the largest mammal on Earth?,Elephant,Giraffe,Blue whale,Hippopotamus,C,easy
Which animal is known as the "King of the Jungle"?,Tiger,Elephant,Leopard,Lion,D,easy
What is a group of lions called?,A pride,A pack,A herd,A flock,A,easy
Who was the first President of the United States?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,A,easy
Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Michelangelo,B,easy
Who wrote the play "Romeo and Juliet"?,Charles Dickens,Jane Austen,William Shakespeare,Mark Twain,C,easy
Who is credited with discovering the law of gravity?,Albert Einstein,Galileo Galilei,Nikola Tesla,Isaac Newton,D,easy
Who was the first person to walk on the Moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,John Glenn,A,easy
How many colors are there in a rainbow?,5,7,6,8,B,easy
What color do you get when you mix blue and yellow?,Purple,Orange,Green,Brown,C,easy
How many players are on the field for one football (soccer) team?,10,9,12,11,D,easy
How many players from each team are on a basketball court at once?,5,6,4,7,A,easy
The Summer Olympics are traditionally held every how many years?,2,3,5,4,D,easy
Which ocean is the largest on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,A,easy
On which continent is the Sahara Desert located?,Asia,Africa,South America,Australia,B,easy
Mount Everest is the highest mountain above sea level. On which continent is it located?,Africa,Europe,Asia,South America,C,easy
What is the largest country in the world by land area?,Canada,China,United States,Russia,D,easy
What is the smallest country in the world by land area?,Vatican City,Monaco,San Marino,Liechtenstein,A,easy
Which is the smallest planet in our solar system?,Mars,Venus,Pluto,Mercury,D,easy
What are bees best known for producing?,Milk,Honey,Silk,Butter,B,easy
Which sport is widely regarded as the national sport of Japan?,Baseball,Soccer,Sumo wrestling,Karate,C,easy
How many legs does a spider have?,6,10,4,8,D,easy
What is the tallest animal in the world?,Giraffe,Elephant,Ostrich,Camel,A,easy
What do you call a baby dog?,Kitten,Puppy,Cub,Calf,B,easy
What do you call a baby cat?,Puppy,Cub,Kitten,Calf,C,easy
Which shape has four equal sides?,Rectangle,Triangle,Pentagon,Square,D,easy
What is the capital of Argentina?,Buenos Aires,Cordoba,Rosario,Mendoza,A,medium
Which city is South Africa's legislative capital?,Pretoria,Cape Town,Johannesburg,Durban,B,medium
What is the capital of Switzerland?,Zurich,Geneva,Bern,Basel,C,medium
What is the capital of Sweden?,Gothenburg,Malmo,Uppsala,Stockholm,D,medium
What is the capital of Norway?,Oslo,Bergen,Trondheim,Stavanger,A,medium
What is the capital of Portugal?,Porto,Lisbon,Faro,Braga,B,medium
Which city is the constitutional capital of the Netherlands?,The Hague,Rotterdam,Amsterdam,Utrecht,C,medium
What is the capital of Poland?,Krakow,Gdansk,Lodz,Warsaw,D,medium
What is the capital of Thailand?,Bangkok,Chiang Mai,Phuket,Pattaya,A,medium
What is the capital of Indonesia?,Bali,Surabaya,Jakarta,Bandung,C,medium
What is the capital of Vietnam?,Ho Chi Minh City,Da Nang,Hue,Hanoi,D,medium
What is the capital of Ghana?,Kumasi,Accra,Tamale,Takoradi,B,medium
What is the capital of Ethiopia?,Gondar,Bahir Dar,Addis Ababa,Mekelle,C,medium
What is the capital of Morocco?,Casablanca,Marrakesh,Fes,Rabat,D,medium
What is the capital of Saudi Arabia?,Riyadh,Jeddah,Mecca,Medina,A,medium
What is the capital of Iran?,Isfahan,Shiraz,Tehran,Tabriz,C,medium
Which planet is known as the "Red Planet"?,Mars,Venus,Jupiter,Saturn,A,medium
What is the "powerhouse of the cell" called?,Nucleus,Mitochondria,Ribosome,Cytoplasm,B,medium
What is the chemical symbol for gold?,Ag,Gd,Au,Go,C,medium
What is the chemical symbol for iron?,In,Ir,I,Fe,D,medium
What is the hardest naturally occurring substance on Earth?,Quartz,Diamond,Granite,Titanium,B,medium
How many chambers does the human heart have?,2,3,4,5,C,medium
Which vitamin is produced when human skin is exposed to sunlight?,Vitamin C,Vitamin A,Vitamin B12,Vitamin D,D,medium
What is the scientific study of earthquakes called?,Seismology,Volcanology,Geology,Meteorology,A,medium
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Niels Bohr,Max Planck,B,medium
In which year did World War II end?,1943,1944,1945,1946,C,medium
In which year did World War I begin?,1912,1913,1914,1915,C,medium
Who was the first Emperor of Rome?,Julius Caesar,Nero,Augustus,Constantine,C,medium
The Great Wall is located in which country?,Japan,South Korea,Mongolia,China,D,medium
Who wrote "Pride and Prejudice"?,Emily Bronte,Jane Austen,Virginia Woolf,George Eliot,B,medium
Who wrote the novel "1984"?,Aldous Huxley,Ray Bradbury,George Orwell,H.G. Wells,C,medium
Which author wrote the Harry Potter series?,J.R.R. Tolkien,C.S. Lewis,Roald Dahl,J.K. Rowling,D,medium
What is the longest bone in the human body?,Tibia,Humerus,Femur,Fibula,C,medium
What is the smallest bone in the human body?,Stapes,Malleus,Incus,Patella,A,medium
Which country hosted the 2016 Summer Olympics?,China,United Kingdom,Brazil,Japan,C,medium
Which country hosted the 2008 Summer Olympics?,China,Greece,Russia,Canada,A,medium
How many rings are on the Olympic flag?,4,5,6,7,B,medium
Which sport is most closely associated with Wimbledon?,Golf,Cricket,Tennis,Rugby,C,medium
Which country hosted the FIFA World Cup in 2022?,Russia,Brazil,Germany,Qatar,D,medium
Which currency is used in Japan?,Won,Yuan,Yen,Ringgit,C,medium
Which currency is used in the United Kingdom?,Euro,Pound Sterling,Dollar,Franc,B,medium
Which river is the longest in South America?,Orinoco River,Sao Francisco River,Parana River,Amazon River,D,medium
Which is the largest island in the world?,Madagascar,Borneo,Greenland,Baffin Island,C,medium
Mount Kilimanjaro is located in which country?,Kenya,Tanzania,Uganda,Rwanda,B,medium
Which is the largest hot desert in the world?,Gobi Desert,Kalahari Desert,Arabian Desert,Sahara Desert,D,medium
Which language has the most native speakers worldwide?,English,Spanish,Hindi,Mandarin Chinese,D,medium
What is the official currency of the United States?,Euro,US Dollar,Peso,Pound,B,medium
What does the abbreviation "WWW" stand for?,World Wide Web,World Web Watch,Wide World Web,World Wireless Web,A,medium
Who co-founded Microsoft?,Steve Jobs,Bill Gates,Larry Page,Jeff Bezos,B,medium
Who founded Facebook?,Elon Musk,Jack Dorsey,Mark Zuckerberg,Larry Ellison,C,medium
Which company created the iPhone?,Samsung,Apple,Google,Nokia,B,medium
What does "HTML" stand for?,Hyper Transfer Markup Language,HyperText Markup Language,High Text Markup Logic,HyperText Machine Language,B,medium
What is the freezing point of water in Fahrenheit?,0 degrees F,20 degrees F,32 degrees F,42 degrees F,C,medium
What is the boiling point of water in Fahrenheit?,180 degrees F,200 degrees F,220 degrees F,212 degrees F,D,medium
Which planet is best known for its prominent ring system?,Saturn,Uranus,Neptune,Jupiter,A,medium
What is the largest species of shark?,Great white shark,Tiger shark,Whale shark,Hammerhead shark,C,medium
Which organ in the human body produces insulin?,Liver,Kidney,Pancreas,Spleen,C,medium
What is the capital of New Zealand?,Auckland,Wellington,Christchurch,Hamilton,B,medium
The Amazon Rainforest is primarily located on which continent?,Africa,Asia,South America,North America,C,medium
Which gas do plants absorb from the atmosphere for photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C,medium
Who was the longest-reigning monarch in British history?,Queen Victoria,King George III,Queen Elizabeth II,King Henry VIII,C,hard
In which year did the Berlin Wall fall?,1987,1988,1989,1991,C,hard
What is the atomic number of carbon?,4,6,8,12,B,hard
What is the atomic number of oxygen?,6,7,8,9,C,hard
Who wrote "On the Origin of Species"?,Gregor Mendel,Charles Darwin,Alfred Russel Wallace,Carl Linnaeus,B,hard
Which ancient wonder of the world was located in Egypt?,The Colossus of Rhodes,The Hanging Gardens,The Great Pyramid of Giza,The Lighthouse of Alexandria,C,hard
Which country was formerly known as Persia?,Iraq,Iran,Turkey,Syria,B,hard
Which composer wrote his Ninth Symphony after becoming completely deaf?,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Ludwig van Beethoven,Franz Schubert,C,hard
What is the smallest country in Africa by land area?,Gambia,Djibouti,Seychelles,Comoros,C,hard
Which element has the chemical symbol "Pb"?,Platinum,Phosphorus,Palladium,Lead,D,hard
Who was the first woman to win a Nobel Prize?,Rosalind Franklin,Marie Curie,Dorothy Hodgkin,Ada Lovelace,B,hard
In which country did the Renaissance begin?,France,Spain,Italy,Germany,C,hard
What is the collective term for a group of crows?,A flock,A murder,A parliament,A herd,B,hard
Which planet has the shortest day (fastest rotation)?,Earth,Mars,Saturn,Jupiter,D,hard
Who composed the opera "The Magic Flute"?,Joseph Haydn,Wolfgang Amadeus Mozart,Antonio Vivaldi,Giuseppe Verdi,B,hard
What is the deepest known point in the world's oceans called?,Puerto Rico Trench,Java Trench,Mariana Trench,Tonga Trench,C,hard
What is the term for an animal that is mainly active at night?,Diurnal,Crepuscular,Dormant,Nocturnal,D,hard
Which African country is commonly cited as never having been colonized by a European power?,Ethiopia,Liberia,Ghana,Kenya,A,hard
What is the official currency of Switzerland?,Euro,Swiss Franc,Swiss Mark,Krone,B,hard
Which scientist proposed the heliocentric model of the solar system?,Johannes Kepler,Tycho Brahe,Nicolaus Copernicus,Galileo Galilei,C,hard
Which is the only material that can scratch a diamond?,Corundum,Quartz,Another diamond,Topaz,C,hard
In chemistry what does pH measure?,Temperature of a solution,Acidity or alkalinity of a solution,Density of a solution,Boiling point of a solution,B,hard
Which country has the most time zones due to its overseas territories?,Russia,United States,France,United Kingdom,C,hard
What is the largest internal organ in the human body?,Kidney,Liver,Lungs,Stomach,B,hard
A deficiency in which vitamin causes the disease scurvy?,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,C,hard
Which ancient Greek philosopher tutored Alexander the Great?,Plato,Socrates,Aristotle,Pythagoras,C,hard
What is the term for the complete phase of a solar eclipse when the sun is fully blocked?,Umbra,Totality,Penumbra,Occultation,B,hard
Which country is the world's largest producer of coffee?,Colombia,Vietnam,Ethiopia,Brazil,D,hard
What is the SI unit of electrical resistance?,Volt,Watt,Ohm,Ampere,C,hard
In which year did humans first land on the Moon?,1967,1968,1969,1970,C,hard
